2.385486486504000538e+02 1.242939640211039318e+02
2.708453453438334009e+02 1.836348017034270867e+02
3.031420420372667195e+02 2.429756393857501564e+02
3.354387387307000381e+02 3.023164770680733113e+02
3.677354354241333567e+02 3.616573147503963241e+02
4.000321321175666753e+02 4.209981524327195075e+02
4.323288288110000508e+02 4.803389901150427477e+02
4.646255255044334262e+02 5.396798277973658742e+02
4.969222221978667449e+02 5.990206654796890007e+02
5.292189188913000635e+02 6.583615031620122409e+02
